ID;Name;Energie, Kalorien (kcal);Fett, total (g);Kohlenhydrate, verfügbar (g);Protein (g);Bezugseinheit;Kategorie;Dichte;gesättigte Fettsäuren;Zucker;NutriScore-Wert
69;Fischstäbchen (paniert und vorfritiert), gebraten in HOLL-Rapsöl;300;18,6;16,6;16;pro 100g essbarer Anteil;Fisch/Meeresfische;;;;
70;Fischstäbchen, paniert und vorfritiert;230;11,7;15,3;15,5;pro 100g essbarer Anteil;Fisch/Meeresfische;;;;
71;Fleisch (Durchschnitt exkl. Innereien), roh ;146;6,7;0;21,4;pro 100g essbarer Anteil;Fleisch und Innereien/Kalb/Fleisch und Innereien/Geflügel/Fleisch und Innereien/Lamm, Schaf/Fleisch und Innereien/Rind/Fleisch und Innereien/Schwein/Fleisch und Innereien/Wild;;;;
72;Fleischlasagne, zubereitet;141;6;12,3;8,8;pro 100g essbarer Anteil;Gerichte/Italienische Gerichte;;;;
73;Forelle, roh;127;7;0;16;pro 100g essbarer Anteil;Fisch/Süsswasserfische;;;;
74;Frischkäse, Doppelrahm;351;32,1;4,5;11,1;pro 100g essbarer Anteil;Milch und Milchprodukte/Frischkäse und Quark;;;;
75;Fruchtsaft-Schorle (Durchschnitt, 60% Saft - 40% Wasser), ungezuckert;31;0,1;7,4;0,2;pro 100 ml;Alkoholfreie Getränke/Frucht- und Gemüsesäfte;1;;;
76;Fruchtsaft (Durchschnitt), ungezuckert;52;0,1;12,3;0,4;pro 100 ml;Früchte/Fruchtsäfte/Alkoholfreie Getränke/Frucht- und Gemüsesäfte;1;;;
77;Frühlingsrolle, frittiert;224;11,2;23,1;6,5;pro 100g essbarer Anteil;Gerichte/Asiatische Gerichte;;;;
78;Garnele, gekocht;46;0,5;1,3;9;pro 100g essbarer Anteil;Fisch/Meeresfrüchte, Krusten- und Schalentiere;;;;
79;Garnele, roh;56;0,6;1,2;11,4;pro 100g essbarer Anteil;Fisch/Meeresfrüchte, Krusten- und Schalentiere;;;;
80;Geflügelfleisch (Durchschnitt exkl. Innereien), roh;134;5,3;0,1;21,6;pro 100g essbarer Anteil;Fleisch und Innereien/Geflügel;;;;
81;Gehacktes (Durchschnitt aus Rind, Kalb, Schwein, Poulet), roh;143;6,2;0;21,6;pro 100g essbarer Anteil;Fleisch und Innereien/Kalb/Fleisch und Innereien/Rind/Fleisch und Innereien/Schwein/Fleisch und Innereien/Geflügel;;;;
82;Gemüselasagne, zubereitet;133;7,6;11,2;4,4;pro 100g essbarer Anteil;Gerichte/Italienische Gerichte;;;;
