ID;Name;Energie, Kalorien (kcal);Fett, total (g);Kohlenhydrate, verfügbar (g);Protein (g);Bezugseinheit;Kategorie;Dichte;gesättigte Fettsäuren;Zucker;NutriScore-Wert
205;Sauerrahm;336;35;2,8;2,4;pro 100g essbarer Anteil;Fette und Öle/Rahm/Milch und Milchprodukte/Rahm und Butter;1;15,8;2,4;13
206;Schnittlauch, roh;30;0,6;1,9;3;pro 100g essbarer Anteil;Gemüse/Kräuter;;;;
207;Schnitzelbrot mit Cocktailsauce;262;11,2;25,1;14,6;pro 100g essbarer Anteil;Gerichte/Sandwiches;;;;
208;Schokobrötchen;409;9,9;44;6,5;pro 100g essbarer Anteil;Süssigkeiten/Schokolade und Kakaoerzeugnisse;;;;
209;Schokolade, dunkel (bitter);537;31,8;53,4;5,7;pro 100g essbarer Anteil;Süssigkeiten/Schokolade und Kakaoerzeugnisse;;;;
210;Schokolade, weiss;567;35,2;55,8;6,7;pro 100g essbarer Anteil;Süssigkeiten/Schokolade und Kakaoerzeugnisse;;;;
211;Schwein, Filet, gebraten (ohne Zusatz von Fett und Salz);153;4;0;29,3;pro 100g essbarer Anteil;Fleisch und Innereien/Schwein;;;;
212;Schwein, Filet, roh;121;3,6;0;22,2;pro 100g essbarer Anteil;Fleisch und Innereien/Schwein;;;;
213;Schwein, Gehacktes, roh;159;8,5;0;20,5;pro 100g essbarer Anteil;Fleisch und Innereien/Schwein;;;;
214;Schweinsbratwurst;236;18,8;0,5;16,2;pro 100g essbarer Anteil;Fleisch- und Wurstwaren/Rohwurstware;;;;
215;Schweinsbratwurst, gebraten (ohne Zusatz von Fett und Salz);283;22,3;0,6;19,8;pro 100g essbarer Anteil;Fleisch- und Wurstwaren/Rohwurstware;;;;
216;Seelachs, roh;80;0,3;0;19,3;pro 100g essbarer Anteil;Fisch/Meeresfische;;;;
217;Seezunge, roh;85;1,1;0;18,7;pro 100g essbarer Anteil;Fisch/Meeresfische;;;;
218;Senf;124;7,7;3,8;7,1;pro 100g essbarer Anteil;Verschiedenes/Saucen;;;;
219;Sonnenblumenkerne;621;54,5;3,6;25,1;pro 100g essbarer Anteil;Nüsse, Samen und Ölfrüchte;;5,4;3,4;7
220;Sonnenblumenöl;810;90;0;0;pro 100 ml;Fette und Öle/Öle;0,9;;;
221;Spargel, gedämpft (ohne Zugabe von Salz);26;0,2;3,1;2,1;pro 100g essbarer Anteil;Gemüse/Gemüse gekocht (inkl. Konserven);;;;
222;Spargel, roh (weiss und grün);27;0,2;3,3;2,2;pro 100g essbarer Anteil;Gemüse/Gemüse frisch;;;;
223;Spiegelei;223;18,2;1,3;13;pro 100g essbarer Anteil;Eier;;8,2;1;12
224;Steinpilz, gedünstet (ohne Zugabe von Fett und Salz);46;0,5;0,6;6,1;pro 100g essbarer Anteil;Gemüse/Pilze;;;;
225;Steinpilz, roh;39;0,4;0,5;5,4;pro 100g essbarer Anteil;Gemüse/Pilze;;;;
226;Süsskartoffel, gedämpft (ohne Zugabe von Salz);81;0,1;17,1;1,6;pro 100g essbarer Anteil;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;;;;
227;Süsskartoffel, roh;81;0,1;17,1;1,6;pro 100g essbarer Anteil;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;;;;
228;Thunfisch, roh;149;6,2;0;23,4;pro 100g essbarer Anteil;Fisch/Meeresfische;;1,8;0;-3
229;Toastbrot mit Butter;316;10,4;45,7;8,9;pro 100g essbarer Anteil;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;;6;2,7;11
230;Toastbrot, Vollkorn;271;4,9;43,7;9,3;pro 100g essbarer Anteil;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;;;;
231;Tomate, roh;21;0,3;3,3;0,9;pro 100g essbarer Anteil;Gemüse/Gemüse frisch;;0,1;3,2;-6
232;Tomatensauce;69;2,1;9,7;1,8;pro 100g essbarer Anteil;Verschiedenes/Saucen;;;;
233;Tomatensuppe;42;1,1;6,6;1;pro 100g essbarer Anteil;Gerichte/Eintöpfe und Suppen;1;;;
234;Vanille Zucker (Durchschnitt von Markenprodukten);391;0,2;96,7;0,2;pro 100g essbarer Anteil;Süssigkeiten/Zucker und Süssstoffe;;;;
235;Vegetarisches Gehacktes/Geschnetzeltes, aus Mykoprotein, roh;92;2,3;1,6;13,4;pro 100g essbarer Anteil;Fleischersatzprodukte;;;;
236;Vinaigrette (mit Rapsöl);255;25,2;2,1;4,6;pro 100 ml;Fette und Öle/Salatsaucen;1,1;;;
237;Vollmilch, pasteurisiert;68;4;4,7;3,2;pro 100 ml;Milch und Milchprodukte/Milch;1;;;
238;Walnuss Kerne;691;63;11;17;pro 100g essbarer Anteil;Nüsse, Samen und Ölfrüchte;;6,9;3,5;-1
239;Wassermelone, roh;37;0,2;8,3;0,7;pro 100g essbarer Anteil;Früchte/Früchte frisch;;;;
240;Weissbrot;242;0,8;48,9;8,5;pro 100g essbarer Anteil;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;;7,8;0,2;3
241;Wiener Würstchen;286;25;1;14;pro 100g essbarer Anteil;Fleisch- und Wurstwaren/Brühwurstware;;7,8;0,6;19
242;Worcester Sauce (Durchschnitt von Markenprodukten);96;0,8;21,5;0,8;pro 100 ml;Verschiedenes/Saucen;1;;;
243;Zimtstern;505;25,9;50,9;14,2;pro 100g essbarer Anteil;Süssigkeiten/Guetzli;;;;
244;Zitrone, roh;23;0,5;2,9;0,8;pro 100g essbarer Anteil;Früchte/Früchte frisch;;0,1;2,5;-7
245;Zitronensaft;28;0,2;2,5;0,4;pro 100 ml;Früchte/Fruchtsäfte/Alkoholfreie Getränke/Frucht- und Gemüsesäfte;1;;;
246;Zucchini, roh;19;0,4;2;1,6;pro 100g essbarer Anteil;Gemüse/Gemüse frisch;;0;1,9;-7
247;Zucker, braun;390;0;97,6;0;pro 100g essbarer Anteil;Süssigkeiten/Zucker und Süssstoffe;;0;97,6;14
248;Zucker, weiss;400;0;100;0;pro 100g essbarer Anteil;Süssigkeiten/Zucker und Süssstoffe;;;;
249;Zwieback;421;7,8;74,6;11,6;pro 100g essbarer Anteil;Brote, Flocken und Frühstückscerealien/Knäckebrote, Zwieback, Crackers und Waffeln;;1;14,2;10
250;Zwieback, Vollkorn;413;9,1;61,2;17,5;pro 100g essbarer Anteil;Brote, Flocken und Frühstückscerealien/Knäckebrote, Zwieback, Crackers und Waffeln;;;;
251;Zwiebel, roh;39;0,6;6,3;1,1;pro 100g essbarer Anteil;Gemüse/Gemüse frisch;;0,2;4,8;-5
